carriers,locs,techs,timesteps,carrier_prod
power,region1,free_transmission:region1-1,2005-01-05 06:00:00,7625.42352941177
power,region1,free_transmission:region1-1,2005-01-05 07:00:00,8659.23247058823
power,region1,free_transmission:region1-1,2005-01-05 08:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 09:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 10:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 11:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 12:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 13:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 14:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 15:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 16:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 17:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 18:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 19:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 20:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 21:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 22:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 23:00:00,9000.0
power,region1,free_transmission:region1-2,2005-01-01 00:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 01:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 02:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 03:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 04:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 05:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 06:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 07:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 08:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 09:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 10:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 11:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 12:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 13:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 14:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 15:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 16:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 17:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 18:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 19:00:00,0.0
