carriers,locs,techs,timesteps,capacity_factor
power,region1,free_transmission:region1-1,2005-01-04 14:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-04 15:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-04 16:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-04 17:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-04 18:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-04 19:00:00,0.9549556601307189
power,region1,free_transmission:region1-1,2005-01-04 20:00:00,0.7638978823529411
power,region1,free_transmission:region1-1,2005-01-04 21:00:00,0.5039903267973855
power,region1,free_transmission:region1-1,2005-01-04 22:00:00,0.2882338823529411
power,region1,free_transmission:region1-1,2005-01-04 23:00:00,0.14606854901960778
power,region1,free_transmission:region1-1,2005-01-05 00:00:00,0.06713343790849655
power,region1,free_transmission:region1-1,2005-01-05 01:00:00,0.037353882352941334
power,region1,free_transmission:region1-1,2005-01-05 02:00:00,0.05069610457516344
power,region1,free_transmission:region1-1,2005-01-05 03:00:00,0.11597610457516334
power,region1,free_transmission:region1-1,2005-01-05 04:00:00,0.36728277124182995
power,region1,free_transmission:region1-1,2005-01-05 05:00:00,0.6900626125685712
power,region1,free_transmission:region1-1,2005-01-05 06:00:00,0.8472692810457522
power,region1,free_transmission:region1-1,2005-01-05 07:00:00,0.96213694117647
power,region1,free_transmission:region1-1,2005-01-05 08:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 09:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 10:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 11:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 12:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 13:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 14:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 15:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 16:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 17:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 18:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 19:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 20:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 21:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 22:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 23:00:00,1.0
power,region1,free_transmission:region1-2,2005-01-01 00:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 01:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 02:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 03:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 04:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 05:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 06:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 07:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 08:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 09:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 10:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 11:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 12:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 13:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 14:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 15:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 16:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 17:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 18:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 19:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 20:00:00,0.0
