locs,techs,timesteps,storage
region2,battery,2005-01-03 05:00:00,5239.24607999999
region2,battery,2005-01-03 06:00:00,5239.24607999999
region2,battery,2005-01-03 07:00:00,5239.24607999999
region2,battery,2005-01-03 08:00:00,5239.24607999999
region2,battery,2005-01-03 09:00:00,5239.24607999999
region2,battery,2005-01-03 10:00:00,5239.24607999999
region2,battery,2005-01-03 11:00:00,5239.24607999999
region2,battery,2005-01-03 12:00:00,5239.24607999999
region2,battery,2005-01-03 13:00:00,5239.24607999999
region2,battery,2005-01-03 14:00:00,5239.24607999999
region2,battery,2005-01-03 15:00:00,4186.61450105262
region2,battery,2005-01-03 16:00:00,3133.98292210525
region2,battery,2005-01-03 17:00:00,2081.35134315788
region2,battery,2005-01-03 18:00:00,1375.68186947367
region2,battery,2005-01-03 19:00:00,1375.68186947367
region2,battery,2005-01-03 20:00:00,1492.48626947367
region2,battery,2005-01-03 21:00:00,1765.02796947367
region2,battery,2005-01-03 22:00:00,2232.24176947367
region2,battery,2005-01-03 23:00:00,2660.52076947367
region2,battery,2005-01-04 00:00:00,3127.73456947368
region2,battery,2005-01-04 01:00:00,3711.75086947368
region2,battery,2005-01-04 02:00:00,4334.70196947368
region2,battery,2005-01-04 03:00:00,4918.71826947368
region2,battery,2005-01-04 04:00:00,5239.24607999999
region2,battery,2005-01-04 05:00:00,5239.24607999999
region2,battery,2005-01-04 06:00:00,5239.24607999999
region2,battery,2005-01-04 07:00:00,5239.24607999999
region2,battery,2005-01-04 08:00:00,5239.24607999999
region2,battery,2005-01-04 09:00:00,5180.99513263157
region2,battery,2005-01-04 10:00:00,5239.24607999999
region2,battery,2005-01-04 11:00:00,5239.24607999999
region2,battery,2005-01-04 12:00:00,5239.24607999999
region2,battery,2005-01-04 13:00:00,5239.24607999999
region2,battery,2005-01-04 14:00:00,4876.12565894736
region2,battery,2005-01-04 15:00:00,3823.49407999999
region2,battery,2005-01-04 16:00:00,2770.86250105262
region2,battery,2005-01-04 17:00:00,1718.23092210525
region2,battery,2005-01-04 18:00:00,665.599343157883
region2,battery,2005-01-04 19:00:00,665.599343157884
