carriers,locs,techs,timesteps,capacity_factor
electricity,X1,supply_grid_power,2005-07-02 08:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 09:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 10:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 11:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 12:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 13:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 14:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 15:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 16:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 17:00:00,0.12249604851997738
electricity,X1,supply_grid_power,2005-07-02 18:00:00,0.26676828885457127
electricity,X1,supply_grid_power,2005-07-02 19:00:00,1.0
electricity,X1,supply_grid_power,2005-07-02 20:00:00,0.2952943919224973
electricity,X1,supply_grid_power,2005-07-02 21:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 22:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 23:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 00:00:00,0.3444144658280501
electricity,X2,power_lines:X1,2005-07-01 01:00:00,0.2803546027114475
electricity,X2,power_lines:X1,2005-07-01 02:00:00,0.2822311380870688
electricity,X2,power_lines:X1,2005-07-01 03:00:00,0.2822311380870688
electricity,X2,power_lines:X1,2005-07-01 04:00:00,0.3013769356247432
electricity,X2,power_lines:X1,2005-07-01 05:00:00,0.5410825023755709
electricity,X2,power_lines:X1,2005-07-01 06:00:00,0.6905746285292964
electricity,X2,power_lines:X1,2005-07-01 07:00:00,0.7934139794366392
electricity,X2,power_lines:X1,2005-07-01 08:00:00,0.7822657790205626
electricity,X2,power_lines:X1,2005-07-01 09:00:00,0.804754771398755
electricity,X2,power_lines:X1,2005-07-01 10:00:00,0.6622459685386088
electricity,X2,power_lines:X1,2005-07-01 11:00:00,0.6632569043657186
