carriers,locs,techs,timesteps,carrier_con
electricity,X2,power_lines:X1,2005-07-01 19:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 20:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 21:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 22:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 23:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 00:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 01:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 02:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 03:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 04:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 05:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 06:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 07:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 08:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 09:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 10:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 11:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 12:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 13:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 14:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 15:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 16:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 17:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 18:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 19:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 20:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 21:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 22:00:00,0.0
electricity,X2,power_lines:X1,2005-07-02 23:00:00,0.0
electricity,X3,demand_electricity,2005-07-01 00:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-01 01:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-01 02:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-01 03:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-01 04:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-01 05:00:00,-30.21242501
electricity,X3,demand_electricity,2005-07-01 06:00:00,-35.23330708
electricity,X3,demand_electricity,2005-07-01 07:00:00,-61.3952694
electricity,X3,demand_electricity,2005-07-01 08:00:00,-63.64296171
electricity,X3,demand_electricity,2005-07-01 09:00:00,-62.679665
electricity,X3,demand_electricity,2005-07-01 10:00:00,-64.92735731
electricity,X3,demand_electricity,2005-07-01 11:00:00,-63.64296171
electricity,X3,demand_electricity,2005-07-01 12:00:00,-61.0741705
electricity,X3,demand_electricity,2005-07-01 13:00:00,-32.66451588
electricity,X3,demand_electricity,2005-07-01 14:00:00,-31.38012027
electricity,X3,demand_electricity,2005-07-01 15:00:00,-31.75087161
electricity,X3,demand_electricity,2005-07-01 16:00:00,-24.22496714
electricity,X3,demand_electricity,2005-07-01 17:00:00,-21.15215536
electricity,X3,demand_electricity,2005-07-01 18:00:00,-20.96680358
electricity,X3,demand_electricity,2005-07-01 19:00:00,-19.90594728
electricity,X3,demand_electricity,2005-07-01 20:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-01 21:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-01 22:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-01 23:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 00:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 01:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 02:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 03:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 04:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 05:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 06:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 07:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 08:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 09:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 10:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 11:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 12:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 13:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 14:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 15:00:00,-18.95441822
electricity,X3,demand_electricity,2005-07-02 16:00:00,-19.14592436
electricity,X3,demand_electricity,2005-07-02 17:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 18:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 19:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 20:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 21:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 22:00:00,-18.76291208
electricity,X3,demand_electricity,2005-07-02 23:00:00,-18.76291208
electricity,X3,power_lines:X1,2005-07-01 00:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 01:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 02:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 03:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 04:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 05:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 06:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 07:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 08:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 09:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 10:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 11:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 12:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 13:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 14:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 15:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 16:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 17:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 18:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 19:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 20:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 21:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 22:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 23:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 00:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 01:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 02:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 03:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 04:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 05:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 06:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 07:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 08:00:00,-1.5095878775
electricity,X3,power_lines:X1,2005-07-02 09:00:00,-8.05458787749999
electricity,X3,power_lines:X1,2005-07-02 10:00:00,-13.2395880475
electricity,X3,power_lines:X1,2005-07-02 11:00:00,-14.344587835
electricity,X3,power_lines:X1,2005-07-02 12:00:00,-11.8370879625
electricity,X3,power_lines:X1,2005-07-02 13:00:00,-5.547088005
electricity,X3,power_lines:X1,2005-07-02 14:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 15:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 16:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 17:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 18:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 19:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 20:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 21:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 22:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 23:00:00,0.0
gas,X1,chp,2005-07-01 00:00:00,-286.609135905719
gas,X1,chp,2005-07-01 01:00:00,-242.179927709347
gas,X1,chp,2005-07-01 02:00:00,-243.446933099269
gas,X1,chp,2005-07-01 03:00:00,-243.44866358322
gas,X1,chp,2005-07-01 04:00:00,-256.804462918115
gas,X1,chp,2005-07-01 05:00:00,-445.86764368128
gas,X1,chp,2005-07-01 06:00:00,-546.364342818947
gas,X1,chp,2005-07-01 07:00:00,-644.31283483665
gas,X1,chp,2005-07-01 08:00:00,-644.31283483665
gas,X1,chp,2005-07-01 09:00:00,-644.31283483665
gas,X1,chp,2005-07-01 10:00:00,-542.348839485501
gas,X1,chp,2005-07-01 11:00:00,-540.192042401517
gas,X1,chp,2005-07-01 12:00:00,-517.762369033046
gas,X1,chp,2005-07-01 13:00:00,-457.241514299689
gas,X1,chp,2005-07-01 14:00:00,-486.521827110103
gas,X1,chp,2005-07-01 15:00:00,-565.045371645096
gas,X1,chp,2005-07-01 16:00:00,-484.441856492054
gas,X1,chp,2005-07-01 17:00:00,-644.31283483665
gas,X1,chp,2005-07-01 18:00:00,-644.31283483665
gas,X1,chp,2005-07-01 19:00:00,-644.31283483665
gas,X1,chp,2005-07-01 20:00:00,-644.31283483665
gas,X1,chp,2005-07-01 21:00:00,-567.623503309599
gas,X1,chp,2005-07-01 22:00:00,-390.035706508894
gas,X1,chp,2005-07-01 23:00:00,-287.352472338725
gas,X1,chp,2005-07-02 00:00:00,-306.857839004737
gas,X1,chp,2005-07-02 01:00:00,-264.699931186294
gas,X1,chp,2005-07-02 02:00:00,-260.775392887629
gas,X1,chp,2005-07-02 03:00:00,-266.617610043285
gas,X1,chp,2005-07-02 04:00:00,-277.377637496095
gas,X1,chp,2005-07-02 05:00:00,-414.859305951373
gas,X1,chp,2005-07-02 06:00:00,-529.195685153288
gas,X1,chp,2005-07-02 07:00:00,-614.235189409876
gas,X1,chp,2005-07-02 08:00:00,-590.441560905439
gas,X1,chp,2005-07-02 09:00:00,-565.90157844487
gas,X1,chp,2005-07-02 10:00:00,-531.686819559979
gas,X1,chp,2005-07-02 11:00:00,-433.878462874547
gas,X1,chp,2005-07-02 12:00:00,-394.612566796458
gas,X1,chp,2005-07-02 13:00:00,-393.243540486792
gas,X1,chp,2005-07-02 14:00:00,-454.323576462912
gas,X1,chp,2005-07-02 15:00:00,-537.429033837293
gas,X1,chp,2005-07-02 16:00:00,-479.237719149123
gas,X1,chp,2005-07-02 17:00:00,-644.31283483665
gas,X1,chp,2005-07-02 18:00:00,-644.31283483665
gas,X1,chp,2005-07-02 19:00:00,-644.31283483665
gas,X1,chp,2005-07-02 20:00:00,-644.31283483665
gas,X1,chp,2005-07-02 21:00:00,-544.523096910002
gas,X1,chp,2005-07-02 22:00:00,-390.178488569866
gas,X1,chp,2005-07-02 23:00:00,-310.034711618141
gas,X2,boiler,2005-07-01 00:00:00,0.0
gas,X2,boiler,2005-07-01 01:00:00,-4.80523046065197
gas,X2,boiler,2005-07-01 02:00:00,-11.306472472928
gas,X2,boiler,2005-07-01 03:00:00,-43.6110457313534
gas,X2,boiler,2005-07-01 04:00:00,-62.5593693214534
gas,X2,boiler,2005-07-01 05:00:00,-61.0509654571992
gas,X2,boiler,2005-07-01 06:00:00,-145.236845590293
gas,X2,boiler,2005-07-01 07:00:00,-226.859377644824
gas,X2,boiler,2005-07-01 08:00:00,-97.9602985779756
gas,X2,boiler,2005-07-01 09:00:00,-16.7734322725469
gas,X2,boiler,2005-07-01 10:00:00,0.0
gas,X2,boiler,2005-07-01 11:00:00,0.0
gas,X2,boiler,2005-07-01 12:00:00,0.0
gas,X2,boiler,2005-07-01 13:00:00,0.0
gas,X2,boiler,2005-07-01 14:00:00,0.0
gas,X2,boiler,2005-07-01 15:00:00,0.0
gas,X2,boiler,2005-07-01 16:00:00,0.0
gas,X2,boiler,2005-07-01 17:00:00,0.0
gas,X2,boiler,2005-07-01 18:00:00,0.0
gas,X2,boiler,2005-07-01 19:00:00,0.0
gas,X2,boiler,2005-07-01 20:00:00,0.0
gas,X2,boiler,2005-07-01 21:00:00,-101.243334325248
gas,X2,boiler,2005-07-01 22:00:00,-55.4783513723631
gas,X2,boiler,2005-07-01 23:00:00,-22.6104683901418
gas,X2,boiler,2005-07-02 00:00:00,0.0
gas,X2,boiler,2005-07-02 01:00:00,-18.0271769803504
gas,X2,boiler,2005-07-02 02:00:00,-23.5771774310699
gas,X2,boiler,2005-07-02 03:00:00,-40.563676014673
gas,X2,boiler,2005-07-02 04:00:00,-60.1668160154231
gas,X2,boiler,2005-07-02 05:00:00,-55.169512056886
gas,X2,boiler,2005-07-02 06:00:00,-125.341287688728
gas,X2,boiler,2005-07-02 07:00:00,-215.204150036204
gas,X2,boiler,2005-07-02 08:00:00,-99.9955420604269
gas,X2,boiler,2005-07-02 09:00:00,-38.2527007143552
