costs,locs,techs,timesteps,cost_var
monetary,X2,boiler,2005-07-02 23:00:00,0.0041768581816653
monetary,X2,pv,2005-07-01 00:00:00,0.0
monetary,X2,pv,2005-07-01 01:00:00,0.0
monetary,X2,pv,2005-07-01 02:00:00,0.0
monetary,X2,pv,2005-07-01 03:00:00,0.0
monetary,X2,pv,2005-07-01 04:00:00,0.0
monetary,X2,pv,2005-07-01 05:00:00,-0.205404539502891
monetary,X2,pv,2005-07-01 06:00:00,-0.761864092569476
monetary,X2,pv,2005-07-01 07:00:00,-0.424945771577255
monetary,X2,pv,2005-07-01 08:00:00,-0.599730656868595
monetary,X2,pv,2005-07-01 09:00:00,-1.99286404346529
monetary,X2,pv,2005-07-01 10:00:00,-0.826951018452913
monetary,X2,pv,2005-07-01 11:00:00,-0.822581400526391
monetary,X2,pv,2005-07-01 12:00:00,-0.688215511642735
monetary,X2,pv,2005-07-01 13:00:00,-0.544017974777566
monetary,X2,pv,2005-07-01 14:00:00,-0.492674910613059
monetary,X2,pv,2005-07-01 15:00:00,-0.387803980967622
monetary,X2,pv,2005-07-01 16:00:00,-0.29494950826696
monetary,X2,pv,2005-07-01 17:00:00,-0.201002623437829
monetary,X2,pv,2005-07-01 18:00:00,-0.0742835812192651
monetary,X2,pv,2005-07-01 19:00:00,0.0
monetary,X2,pv,2005-07-01 20:00:00,0.0
monetary,X2,pv,2005-07-01 21:00:00,0.0
monetary,X2,pv,2005-07-01 22:00:00,0.0
monetary,X2,pv,2005-07-01 23:00:00,0.0
monetary,X2,pv,2005-07-02 00:00:00,0.0
monetary,X2,pv,2005-07-02 01:00:00,0.0
monetary,X2,pv,2005-07-02 02:00:00,0.0
monetary,X2,pv,2005-07-02 03:00:00,0.0
monetary,X2,pv,2005-07-02 04:00:00,0.0
monetary,X2,pv,2005-07-02 05:00:00,-0.212873787879754
monetary,X2,pv,2005-07-02 06:00:00,-0.750660220004182
monetary,X2,pv,2005-07-02 07:00:00,-1.26977350504406
monetary,X2,pv,2005-07-02 08:00:00,-1.78141751556467
monetary,X2,pv,2005-07-02 09:00:00,-2.35655021571581
monetary,X2,pv,2005-07-02 10:00:00,-2.60894153786878
monetary,X2,pv,2005-07-02 11:00:00,-0.850983939989301
monetary,X2,pv,2005-07-02 12:00:00,-1.09257976027254
monetary,X2,pv,2005-07-02 13:00:00,-0.624855990533453
monetary,X2,pv,2005-07-02 14:00:00,-0.442424258577021
monetary,X2,pv,2005-07-02 15:00:00,-0.314612804229988
monetary,X2,pv,2005-07-02 16:00:00,-0.206464653492821
monetary,X2,pv,2005-07-02 17:00:00,-0.112517776310528
monetary,X2,pv,2005-07-02 18:00:00,-0.0469734385911462
monetary,X2,pv,2005-07-02 19:00:00,-0.0065544345366221
monetary,X2,pv,2005-07-02 20:00:00,0.0
monetary,X2,pv,2005-07-02 21:00:00,0.0
monetary,X2,pv,2005-07-02 22:00:00,0.0
monetary,X2,pv,2005-07-02 23:00:00,0.0
monetary,X2,supply_gas,2005-07-01 00:00:00,0.0
monetary,X2,supply_gas,2005-07-01 01:00:00,0.120130761516299
monetary,X2,supply_gas,2005-07-01 02:00:00,0.2826618118232
monetary,X2,supply_gas,2005-07-01 03:00:00,1.09027614328384
monetary,X2,supply_gas,2005-07-01 04:00:00,1.56398423303634
monetary,X2,supply_gas,2005-07-01 05:00:00,1.52627413642998
monetary,X2,supply_gas,2005-07-01 06:00:00,3.63092113975732
monetary,X2,supply_gas,2005-07-01 07:00:00,5.67148444112059
monetary,X2,supply_gas,2005-07-01 08:00:00,2.44900746444939
monetary,X2,supply_gas,2005-07-01 09:00:00,0.419335806813673
monetary,X2,supply_gas,2005-07-01 10:00:00,0.0
monetary,X2,supply_gas,2005-07-01 11:00:00,0.0
monetary,X2,supply_gas,2005-07-01 12:00:00,0.0
monetary,X2,supply_gas,2005-07-01 13:00:00,0.0
monetary,X2,supply_gas,2005-07-01 14:00:00,0.0
monetary,X2,supply_gas,2005-07-01 15:00:00,0.0
monetary,X2,supply_gas,2005-07-01 16:00:00,0.0
monetary,X2,supply_gas,2005-07-01 17:00:00,0.0
monetary,X2,supply_gas,2005-07-01 18:00:00,0.0
monetary,X2,supply_gas,2005-07-01 19:00:00,0.0
monetary,X2,supply_gas,2005-07-01 20:00:00,0.0
monetary,X2,supply_gas,2005-07-01 21:00:00,2.53108335813121
monetary,X2,supply_gas,2005-07-01 22:00:00,1.38695878430908
monetary,X2,supply_gas,2005-07-01 23:00:00,0.565261709753545
monetary,X2,supply_gas,2005-07-02 00:00:00,0.0
